Series Name,Series Code,Country Name,Country Code,2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Afghanistan,AFG,45.5877498,51.5532587,52.21850635,55.96754976,60.11276091,60.0888133,57.24876048,..,..,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Albania,ALB,203.20858851,246.80376019,246.74254556,277.6689966,313.26289683,264.43460271,271.54304258,..,..,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Algeria,DZA,228.39954356,286.15198581,333.9366346,330.22364637,357.89856619,290.50324012,260.41257932,..,..,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Andorra,AND,3754.73134583,4013.91183436,3857.1611156,4107.73398353,4346.25874674,3698.11757428,3834.73058142,..,..,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Angola,AGO,96.64370053,122.11780882,122.24294345,143.70320352,131.75187476,108.68066949,95.22079857,..,..,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Antigua and Barbuda,ATG,663.52612617,680.12942986,644.41809529,655.9971646,749.63864839,644.14005707,623.11462593,..,..,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Arab World,ARB,248.849933874157,283.700733700505,305.844503473237,338.855585064889,366.917830116847,344.574985131653,339.580122579259,..,..,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Argentina,ARG,890.96483114,1068.38035659,1161.00206098,1207.89808581,1086.72728396,1298.68316327,955.2009489,..,..,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Armenia,ARM,169.42145503,133.22313771,247.31892636,317.85873812,406.59374912,366.04924783,358.84174796,..,..,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Aruba,ABW,..,..,..,..,..,..,..,..,..,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Australia,AUS,4952.77614737,5876.87848292,6047.020069,5838.38989381,5637.55972074,4887.79482949,5002.35827732,..,..,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Austria,AUT,4796.11358919,5161.05829518,4966.37668706,5233.85370976,5386.42480252,4603.02587996,4688.28020378,..,..,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Azerbaijan,AZE,287.67622904,333.86759517,374.45440528,405.62394061,440.32807744,377.42764119,268.15586521,..,..,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,"Bahamas, The",BHS,1657.28095069,1661.35614674,1741.75288075,1696.53271127,1687.73500729,1739.74635377,1835.22820219,..,..,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Bahrain,BHR,796.31714151,805.24039133,971.16563145,1066.36641049,1100.99147344,1128.75585372,1099.36229078,..,..,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Bangladesh,BGD,20.17736083,22.15706873,22.74784885,25.85965612,28.834133,31.84148833,34.21796766,..,..,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Barbados,BRB,1097.62388255,1145.17313832,1273.41655273,1258.09198213,1177.76114027,1158.43513247,1163.84456087,..,..,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Belarus,BLR,341.77470816,317.96707386,363.87216206,453.82675671,447.70035365,360.9772219,317.99419058,..,..,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Belgium,BEL,4389.94299666,4792.4028576,4543.07962577,4803.56269697,4908.79185496,4092.15343573,4149.38532224,..,..,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Belize,BLZ,250.41442999,251.75048148,248.73977208,268.32746288,273.86843961,291.27427463,303.60483768,..,..,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Benin,BEN,30.98648958,34.87116587,39.1033994,35.75758336,34.40215717,31.29439157,30.40151289,..,..,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Bermuda,BMU,..,..,..,..,..,..,..,..,..,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Bhutan,BTN,69.80133315,74.48488781,80.10847711,81.93151693,82.32856853,91.11316938,91.33533448,..,..,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Bolivia,BOL,100.98128161,120.3956968,135.5833533,162.8692343,180.49613778,197.61726801,213.01732534,..,..,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Bosnia and Herzegovina,BIH,415.88387839,463.5262179,447.60915281,477.76166278,496.60919394,428.54180572,443.78378047,..,..,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Botswana,BWA,380.96642295,471.45818324,498.65686686,378.02302445,397.57059237,389.37098204,379.9230078,..,..,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Brazil,BRA,1090.78251632,1288.08116881,1234.04761031,1250.55952031,1301.10134635,1002.99855821,1015.93444765,..,..,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,British Virgin Islands,VGB,..,..,..,..,..,..,..,..,..,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Brunei Darussalam,BRN,803.49381215,876.43403696,881.99773601,846.61962035,795.03937344,739.22531158,630.6293586,..,..,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Bulgaria,BGR,484.75228659,555.86417365,558.6479693,601.04881549,666.40141037,572.04491187,612.47858555,..,..,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Burkina Faso,BFA,33.91081732,34.68530369,32.97102135,43.01057125,39.55127795,33.51485241,40.94095568,..,..,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Burundi,BDI,26.13816583,24.6351297,21.62524176,22.03444551,16.00598109,14.38674708,18.46188216,..,..,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Cabo Verde,CPV,148.23267429,158.11458274,172.4175942,186.6414084,186.66822574,159.22015467,159.07351003,..,..,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Cambodia,KHM,54.30473225,66.21792343,69.06165372,72.00948792,73.29931442,72.0516479,77.67368199,..,..,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Cameroon,CMR,58.96177642,48.59146001,62.70305079,67.26609211,71.24243367,63.62799174,64.46729416,..,..,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Canada,CAN,4984.50129114,5297.94920838,5352.77379785,5295.88178798,5038.1554268,4501.68970466,4458.21499934,..,..,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Caribbean small states,CSS,488.760449444802,510.819479098544,532.605820763393,550.670385595767,556.66001381985,579.865909625832,567.215387259962,..,..,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Cayman Islands,CYM,..,..,..,..,..,..,..,..,..,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Central African Republic,CAF,16.70606813,18.75053966,18.71936536,16.34556226,18.30316205,21.97935292,16.36043526,..,..,..
